snr_db,decoder,n_frames,ber,fer,avg_iters,hw_cycles_mean,hw_cycles_p95,hw_cycles_p99,hw_cycles_max,hw_time_us_mean,hw_time_us_p95,hw_time_us_p99,hw_time_us_max,ber_stage1,fer_stage1,grand_invocation_rate,stage1_cycles_mean,stage1_cycles_p95,stage1_cycles_p99,stage1_cycles_max,grand_cycles_mean,grand_cycles_p95,grand_cycles_p99,grand_cycles_max,patterns_tested_mean,patterns_tested_p95,patterns_tested_p99,patterns_tested_max,patterns_evaluated_mean,patterns_evaluated_p95,patterns_evaluated_p99,patterns_evaluated_max,patterns_tested_mean_if_grand,patterns_tested_p95_if_grand,patterns_tested_p99_if_grand,patterns_tested_max_if_grand,patterns_evaluated_mean_if_grand,patterns_evaluated_p95_if_grand,patterns_evaluated_p99_if_grand,patterns_evaluated_max_if_grand,pre_solver_attempt_rate,pre_solver_success_rate_total,pre_solver_success_rate_if_attempted,peel_candidate_mean,peel_candidate_p95,peel_candidate_max,peel_residual_vars_mean,peel_residual_vars_p95,peel_residual_vars_max,chase_candidate_mean,chase_candidate_p95,chase_candidate_max,chase_candidates_tested_mean,chase_candidates_tested_p95,chase_candidates_tested_max,chase_ldpc_iters_mean,chase_ldpc_iters_p95,chase_ldpc_iters_max
7.0,hyb15,756,0.09562454995147303,0.3306878306878307,9.40079365079365,63805.358465608464,175231.0,175266.9,175491.0,79.75669808201059,219.03875,219.083625,219.36375,0.09562528372624526,0.33201058201058203,0.33201058201058203,13164.277777777777,21156.0,21156.0,21156.0,50641.08068783069,154075.0,154110.9,154335.0,11365.936507936507,34370.0,34370.0,34370.0,11366.079365079366,34370.0,34370.0,34370.0,34233.657370517925,34370.0,34370.0,34370.0,34234.08764940239,34370.0,34370.0,34370.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hybsv4,310,0.13841262645543043,0.8064516129032258,3.964516129032258,491139.9322580645,624340.55,628886.76,630605.0,613.9249153225807,780.4256875,786.10845,788.25625,0.13843529299484633,0.8387096774193549,0.8387096774193549,5775.938709677419,5877.0,5877.0,5877.0,485363.9935483871,618463.55,623009.76,624728.0,89374.46774193548,110566.0,110566.0,110566.0,89377.62258064515,110566.0,110566.0,110566.0,106561.86538461539,110566.0,110566.0,110566.0,106565.62692307692,110566.0,110566.0,110566.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hybsv8,559,0.10402696330090716,0.4472271914132379,6.556350626118068,277477.7280858676,623923.2,629540.4599999998,632343.0,346.8471601073345,779.904,786.9255749999999,790.42875,0.10403291750907685,0.4597495527728086,0.4597495527728086,9254.350626118068,11433.0,11433.0,11433.0,268223.3774597496,612490.2,618107.4599999998,620910.0,49451.28980322004,110566.0,110566.0,110566.0,49452.12164579606,110566.0,110566.0,110566.0,107561.36575875487,110566.0,110566.0,110566.0,107563.17509727627,110566.0,110566.0,110566.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hybsv15,769,0.09455961788536561,0.3250975292587776,9.521456436931079,211777.57087126139,633630.0,633713.04,640934.0,264.7219635890767,792.0375,792.1413,801.1675,0.09456009879887044,0.32769830949284784,0.32769830949284784,13330.494148244474,21156.0,21156.0,21156.0,198447.07672301691,612474.0,612557.04,619778.0,35944.74122236671,110566.0,110566.0,110566.0,35944.85565669701,110566.0,110566.0,110566.0,109688.51587301587,110566.0,110566.0,110566.0,109688.86507936507,110566.0,110566.0,110566.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hybptg4,318,0.1193264811506829,0.7861635220125787,3.949685534591195,937274.8836477988,1288989.5,1289826.17,1290595.0,1171.5936045597484,1611.2368749999998,1612.2827125000001,1613.24375,0.1193666034014365,0.8270440251572327,0.8270440251572327,5751.594339622641,5877.0,5877.0,5877.0,931523.2893081761,1283112.5,1283949.17,1284718.0,164282.23270440253,208967.0,208967.0,208967.0,164282.23270440253,208967.0,208967.0,208967.0,198637.83269961976,208967.0,208967.0,208967.0,198637.83269961976,208967.0,208967.0,208967.0,0.8270440251572327,0.040880503144654086,0.049429657794676805,22.669811320754718,28.0,28.0,21.660377358490567,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hybptg8,539,0.10946162354129386,0.46382189239332094,6.736549165120594,585419.6066790352,1293982.9,1294800.24,1295678.0,731.774508348794,1617.478625,1618.5003000000002,1619.5975,0.10948563798838525,0.48794063079777367,0.48794063079777367,9513.69573283859,11433.0,11433.0,11433.0,575905.9109461966,1282549.9,1283367.24,1284245.0,96923.4693877551,208967.0,208967.0,208967.0,96923.4693877551,208967.0,208967.0,208967.0,198637.83269961976,208967.0,208967.0,208967.0,198637.83269961976,208967.0,208967.0,208967.0,0.48794063079777367,0.02411873840445269,0.049429657794676805,13.391465677179962,28.0,28.0,12.838589981447125,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hybptg15,774,0.0914151969328624,0.32299741602067183,9.395348837209303,420123.9754521964,1303589.6,1304566.56,1305407.0,525.1549693152456,1629.487,1630.7082,1631.75875,0.0914223640352889,0.3281653746770026,0.3281653746770026,13155.480620155038,21156.0,21156.0,21156.0,406968.4948320413,1282433.6,1283410.56,1284251.0,67495.80103359174,208967.0,208967.0,208967.0,67495.80103359174,208967.0,208967.0,208967.0,205676.1811023622,208967.0,208967.0,208967.0,205676.1811023622,208967.0,208967.0,208967.0,0.3281653746770026,0.00516795865633075,0.015748031496062992,9.157622739018088,28.0,28.0,8.97545219638243,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,hybctg4,523,0.1263979714211366,0.4780114722753346,3.9636711281070744,2738628.137667304,5696535.4,5698493.7,5700128.0,3423.28517208413,7120.66925,7123.117125000001,7125.16,0.1405679002568251,0.8738049713193117,0.8738049713193117,5786.030592734226,5877.0,5877.0,5877.0,2732842.10707457,5690658.4,5692616.7,5694251.0,209943.59464627152,439202.0,439202.0,439202.0,209943.59464627152,439202.0,439202.0,439202.0,240263.6761487965,439202.0,439202.0,439202.0,240263.6761487965,439202.0,439202.0,439202.0,0.8738049713193117,0.39579349904397704,0.45295404814004375,30.095602294455066,40.0,40.0,15.296367112810707,32.0,32.0,33.91969407265774,40.0,40.0,62.51625239005736,128.0,128.0,499.63288718929255,1024.0,1024.0
7.0,hybctg8,547,0.11231008567441558,0.4570383912248629,6.767824497257769,2588197.588665448,5701170.5,5702750.64,5704362.0,3235.24698583181,7126.463125,7128.4383,7130.4525,0.11235910236578216,0.48628884826325414,0.48628884826325414,9556.606946983547,11433.0,11433.0,11433.0,2578640.9817184643,5689737.5,5691317.64,5692929.0,200732.17550274223,439202.0,439202.0,439202.0,200732.17550274223,439202.0,439202.0,439202.0,412783.83458646614,439202.0,439202.0,439202.0,412783.83458646614,439202.0,439202.0,439202.0,0.48628884826325414,0.029250457038391225,0.06015037593984962,15.460694698354661,32.0,40.0,14.594149908592321,32.0,32.0,19.13528336380256,40.0,40.0,59.39670932358318,128.0,128.0,475.17367458866545,1024.0,1024.0
7.0,hybctg15,780,0.0928839990138067,0.32051282051282054,9.582051282051282,1827764.0833333333,5710188.15,5712378.04,5713580.0,2284.705104166667,7137.7351874999995,7140.4725499999995,7141.975,0.09288542140798058,0.3217948717948718,0.3217948717948718,13412.765384615384,21156.0,21156.0,21156.0,1814351.3179487179,5689032.15,5691222.04,5692424.0,140769.87179487178,439202.0,439202.0,439202.0,140769.87179487178,439202.0,439202.0,439202.0,437452.19123505976,439202.0,439202.0,439202.0,437452.19123505976,439202.0,439202.0,439202.0,0.3217948717948718,0.001282051282051282,0.00398406374501992,10.28076923076923,32.0,32.0,10.228205128205127,32.0,32.0,12.844871794871795,40.0,40.0,41.18974358974359,128.0,128.0,329.51794871794874,1024.0,1024.0
7.5,ldpc4,300,0.13998027613412228,0.8333333333333334,3.97,5781.83,5877.0,5877.0,5877.0,7.227287500000001,7.34625,7.34625,7.34625,0.13998027613412228,0.8333333333333334,0.0,5781.83,5877.0,5877.0,5877.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
