snr_db,decoder,n_frames,ber,fer,avg_iters,hw_cycles_mean,hw_cycles_p95,hw_cycles_p99,hw_cycles_max,hw_time_us_mean,hw_time_us_p95,hw_time_us_p99,hw_time_us_max,ber_stage1,fer_stage1,grand_invocation_rate,stage1_cycles_mean,stage1_cycles_p95,stage1_cycles_p99,stage1_cycles_max,grand_cycles_mean,grand_cycles_p95,grand_cycles_p99,grand_cycles_max,patterns_tested_mean,patterns_tested_p95,patterns_tested_p99,patterns_tested_max,patterns_evaluated_mean,patterns_evaluated_p95,patterns_evaluated_p99,patterns_evaluated_max,patterns_tested_mean_if_grand,patterns_tested_p95_if_grand,patterns_tested_p99_if_grand,patterns_tested_max_if_grand,patterns_evaluated_mean_if_grand,patterns_evaluated_p95_if_grand,patterns_evaluated_p99_if_grand,patterns_evaluated_max_if_grand,pre_solver_attempt_rate,pre_solver_success_rate_total,pre_solver_success_rate_if_attempted,peel_candidate_mean,peel_candidate_p95,peel_candidate_max,peel_residual_vars_mean,peel_residual_vars_p95,peel_residual_vars_max,chase_candidate_mean,chase_candidate_p95,chase_candidate_max,chase_candidates_tested_mean,chase_candidates_tested_p95,chase_candidates_tested_max,chase_ldpc_iters_mean,chase_ldpc_iters_p95,chase_ldpc_iters_max
7.0,hybctg8,1873,0.01605687091872356,0.10678056593699947,4.432461292044848,320681.7704217832,2955174.8,2957671.8,2959211.0,400.852213027229,3693.9685,3697.08975,3699.01375,0.016073851556058217,0.1195942338494394,0.1195942338494394,6195.078483715964,11433.0,11433.0,11433.0,314486.69193806726,2943741.8,2946238.8,2947778.0,22313.614522156968,208967.0,208967.0,208967.0,22313.614522156968,208967.0,208967.0,208967.0,186577.67857142858,208967.0,208967.0,208967.0,186577.67857142858,208967.0,208967.0,208967.0,0.1195942338494394,0.012813667912439935,0.10714285714285714,3.478376935397758,30.0,30.0,3.158569140416444,30.0,30.0,4.140416444207155,36.0,36.0,11.122263747997865,96.0,96.0,66.73358248798719,576.0,576.0
7.0,hybctg15,3640,0.013109648302880552,0.054945054945054944,5.059065934065934,168045.70247252748,2829664.949999997,2966965.46,2969520.0,210.05712809065932,3537.0811874999963,3708.706825,3711.9,0.013110715098510957,0.05631868131868132,0.05631868131868132,7045.120879120879,21156.0,21156.0,21156.0,161000.5815934066,2808508.949999997,2945809.46,2948364.0,11481.703296703297,208967.0,208967.0,208967.0,11481.703296703297,208967.0,208967.0,208967.0,203870.24390243902,208967.0,208967.0,208967.0,203870.24390243902,208967.0,208967.0,208967.0,0.05631868131868132,0.0013736263736263737,0.024390243902439025,1.668956043956044,30.0,30.0,1.6376373626373626,30.0,30.0,1.9986263736263736,36.0,36.0,5.327472527472527,96.0,96.0,31.964835164835165,576.0,576.0
7.5,ldpc4,604,0.02482402817508523,0.33112582781456956,3.3559602649006623,4767.720198675496,5877.0,5877.0,5877.0,5.959650248344371,7.34625,7.34625,7.34625,0.02482402817508523,0.33112582781456956,0.0,4767.720198675496,5877.0,5877.0,5877.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,ldpc8,2204,0.010158876008118644,0.09074410163339383,4.217332123411978,5887.003176043557,11433.0,11433.0,11433.0,7.3587539700544475,14.29125,14.29125,14.29125,0.010158876008118644,0.09074410163339383,0.0,5887.003176043557,11433.0,11433.0,11433.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,ldpc15,4772,0.010329532603897488,0.041911148365465216,4.675188600167645,6507.290444258173,18057.0,21156.0,21156.0,8.134113055322716,22.57125,26.445,26.445,0.010329532603897488,0.041911148365465216,0.0,6507.290444258173,18057.0,21156.0,21156.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,ldpc20,6193,0.00858772836672823,0.03229452607782981,4.850960762150815,6748.351041498466,18057.0,28101.0,28101.0,8.435438801873083,22.57125,35.12625,35.12625,0.00858772836672823,0.03229452607782981,0.0,6748.351041498466,18057.0,28101.0,28101.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,ldpc100,8773,0.0071997140905022605,0.022797218739313802,6.77806907557278,9422.055853185911,16668.0,139221.0,139221.0,11.77756981648239,20.835,174.02625,174.02625,0.0071997140905022605,0.022797218739313802,0.0,9422.055853185911,16668.0,139221.0,139221.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,hyb4,577,0.02531841908258386,0.3466204506065858,3.398613518197574,53684.92547660312,159568.6,160199.0,161076.0,67.1061568457539,199.46075000000002,200.24875,201.345,0.02532931506568355,0.36741767764298094,0.36741767764298094,4838.615251299827,5877.0,5877.0,5877.0,48846.31022530329,153691.6,154322.0,155199.0,11906.318890814558,34370.0,34370.0,34370.0,11908.353552859619,34370.0,34370.0,34370.0,32405.405660377357,34370.0,34370.0,34370.0,32410.943396226416,34370.0,34370.0,34370.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,hyb8,1984,0.013820064957530062,0.10080645161290322,4.283266129032258,20860.451612903227,164716.1,165433.68,165874.0,26.07556451612903,205.895125,206.79209999999998,207.3425,0.013824072610469555,0.10786290322580645,0.10786290322580645,5984.080645161291,11433.0,11433.0,11433.0,14876.370967741936,153283.1,154000.68,154441.0,3471.0438508064517,34370.0,34370.0,34370.0,3471.625504032258,34370.0,34370.0,34370.0,32180.144859813085,34370.0,34370.0,34370.0,32185.53738317757,34370.0,34370.0,34370.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,hyb15,5049,0.009268891197624229,0.03961180431768667,4.672806496335908,12519.498910675382,18057.0,175186.0,175649.0,15.649373638344226,22.57125,218.9825,219.56125,0.009269001067643601,0.040007922360863535,0.040007922360863535,6503.370766488413,18057.0,21156.0,21156.0,6016.128144186968,0.0,154030.0,154493.0,1361.4622697563875,0.0,34370.0,34370.0,1361.5189146365617,0.0,34370.0,34370.0,34029.816831683165,34370.0,34370.0,34370.0,34031.232673267325,34370.0,34370.0,34370.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
